Species_Name,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,USA_Endangered,Extinct,IUCN_LISTED
Camelus dromedarius,3,492714.47,148.401,3481.1811,2.147,1651.62,40293,407000,3,912.6751,386.51,1,196.32,9577.7154,614.41,0.98,1,480,36751.19,1673.1508,0.98,11,1947.94,10,2.7,389.38,339227.7021,1907.7544,262931.4646,0.8026,444018.9312,600729.6615,942601.2927,11.6944,-3.0282,4.441,39.8212,23.6575,32.231,13.23,132.1881,19.97,0.1274,123.4021,224.1824,1152.1531,1546.6768,0,0,0
Canis adustus,1,10392.49,108.3013,745.32,13.6004,467.2278,2223.3696,6592.9856,6,329.99,65,1,1.01,1.01,213.5354,4.5,1.9826,137,244.8632,185.7339,0.74,143.7284,249.88,2.0775,8,52.89,1673.4473,274.5632,24056.9425,1.4361,13624.9122,296595.0149,10581413.14,16.72,-28.73,-6,43.55,-17.53,13,0,35.2,1,0.14,90.75,236.51,922.9,1534.4,0,0,0
Canis aureus,2,9658.7,122.8606,827.53,7.5,608.1871,3081.4232,12497.3172,6,249.8349,61.24,1,2.95,3.13,365,3.74,1.2745,192,211.82,204.8817,0.22,6586.6502,371.23,4.905,8,61.3,2143.5197,277.7648,25855.3464,1.1,9220.7862,257195.8311,25739527.43,47,-4.71,21.14,108.54,-17.05,45.74,0,79.29,0,0.1,44.61,217.23,438.02,1358.98,0,0,0
Canis latrans,2,11989.1,98.6182,872.39,11.94,365,3699,10450,1,255,61.74,1,18.88,19.91,365,5.72,1.2955,262,200.01,210.2204,0.25,5217.6267,372.9,7.5983,8,43.71,5341.5367,299.2048,26107.077,1.1,20511.1148,480206.9641,17099094.3,71.39,8.02,39.7,-67.07,-168.12,-117.6,0,27.27,0,0.06,53.03,58.18,503.02,728.37,0,0,0
Canis lupus,2,31756.51,105.1536,1055,14.01,547.5,11254.2,33100,1,180,63.5,1,159.86,43.13,365,4.98,2,354,412.31,292.8697,0.01,22091.529,679.37,8.0491,9,44.82,8818.9471,380.1382,26066.0208,1.2716,21808.4471,403560.6512,50803439.7,83.27,11.48,47.38,179.65,-171.84,3.9,0,37.87,0,0.04,34.79,4.82,313.33,561.11,1,0,0
Bos frontalis,2,800143.05,136.6607,2700,6.7959,1018.7788,30761.384,156566.1424,3,658.9853,273.75,1.15,65.306,914.4521,403.02,1.22,1,314.4,22977.05,711.9024,0.54,218.1005,610.97,40,3.08,186.67,99403.6562,949.598,69144.7915,1.0187,145284.2247,306402.093,2294331.63,28.01,2.86,15.43,108.68,73.55,91.12,1,152.67,8,0.09,145.21,229.71,1053.45,1483.02,0,0,0
Bos grunniens,2.02,5.00E+05,141.6584,2396.993,11.6942,1055.6434,31833.8444,145776.6807,2,769.8563,273.75,1.24,193.2265,163.3621,422.3083,1,1,267,20486.8359,774.215,4.3212482,1362.5205,755.15,110,3.23,243.33,95114.3297,970.0286,68371.3125,0.9978,95631.6542,306033.6458,1523540.07,38.88,29.66,34.27,99.23,75.91,87.57,0,2.03,0,0.05,30.41,-59.31,246.2,732.74,0,0,0
Bos javanicus,2,635974.34,147.2576,2075,7.7489,912.5,24319.2122,137638.9241,2,852.7175,296.78,1,27.0893,33.0511,510.7452,1.22,1,318.96,19645.0538,812.2623,0.75,21,797.31,40,2.98,287.74,93228.7273,961.0842,41692.9597,0.9511,198706.5718,311416.0951,1687920.66,25.08,-8.78,8.15,118.35,94.94,106.64,1,139.21,4,0.11,187.69,239.18,1301.28,1592.26,0,0,1
Callicebus cupreus,3,1117.02,163.2687,354.99,7.6259,1036.0848,934.0071,3125.6098,2.99,597.0258,129.25,1,0.5533,0.644947,395.41,1.01,1.061,265.4368,73.6,201.8518,4.89,68.301,972.4576,2.05,4.54,201.85,798.0035,326.0709,26399.451,1.05,139839.832,304044.7435,690923.14,-2.5,-10.67,-6.58,-61.59,-74.92,-68.25,0,1.07,0,0.05,196.01,255.36,1529.55,1573.18,0,0,0
Callicebus discolor,1.86,91062.2142,115.4785,1496.489,6.3036,818.9097,17577.7469,66587.9972,2.15,249.3957,213.9716,1.02,7.4199155,8.7887,357.8442,1.1454,1.1274,220.7608,4866.0466,521.1893,110.9182,100.754,753.0525,8.642,3.86,126.8796,17807.0986,444.4078,4387.7186,1.1389,21789.0428,338536.7811,126379.606,6.4147,0.8742,3.0945,30.0742,19.8046,24.7617,8.07,93.1572,12.535,0.1282,130.4669,229.5897,1311.0362,1572.8719,0,0,0
