Species.name,BodyMass.g,LitSz,MaxLifepsan.m,HabitatBreadth,AdultHeadBodyLen.mm,DietBreadth,GestLen.d,WeanAge.d
Acinonyx jubatus,50577.92,3.28,228,1,1480.43,1,92.24,91.42
Ailuropoda melanoleuca,117999.99,1.62,360,1,1345.98,3,134.99,178.98
Ailurus fulgens,5170.08,1.7,168,1,582.32,3,131.5,136.87
Alopex lagopus,3584.37,7.65,180,1,564.81,1,52.99,49.5
Aonyx capensis,19322.22,2.62,132,2,815.2,6,62.99,52.5
Aonyx cinerea,3527.59,1.47,121,2,516.47,2,63.31,79.54
Aonyx congicus,19322.22,2.62,132,2,815.2,6,62.99,52.5
Arctictis binturong,12999.99,2.5,272.4,1,785.15,3,92.24,117.57
Arctocephalus australis,41700,1,252,2,1647.58,6,246.38,365
Arctocephalus forsteri,38100,1,180,2,1701.17,6,242.47,323.72
Arctocephalus galapagoensis,28900,1,264,2,1352.21,6,215.94,821.25
Arctocephalus gazella,39300,1,276,2,1568.56,1,294.69,116.28
Arctocephalus philippii,48100,1,240,2,1694.94,6,360,285
Arctocephalus pusillus,77500,1,252,2,1899.33,1,357.99,356.3
Arctocephalus townsendi,49000,1,288,2,1704.41,1,360,328.13
Arctocephalus tropicalis,49600,1.4,276,2,1620.16,6,241.69,304.16
Arctogalidia trivirgata,2323.79,2.79,190,1,526.9,6,45.95,49.41
Arctonyx collaris,8166.52,3,167,1,690.22,6,42.89,165.64
Atelocynus microtis,8363.22,3.6,132,1,831.01,1,NA,NA
Atilax paludinosus,3600.16,2,209,2,499.01,6,77.27,35.89
Bassaricyon alleni,1235.01,NA,302.4,NA,NA,NA,NA,NA
Bassaricyon beddardi,1235.01,NA,NA,1,NA,NA,NA,NA
Bassaricyon gabbii,1250,1,300,2,411.27,6,76.65,89.49
Bassaricyon lasius,1200,1,300,1,NA,NA,NA,NA
Bassaricyon pauli,1200,1,300,1,NA,NA,NA,NA
Bassariscus astutus,1010.37,3,198,1,338.98,6,54.23,53.84
Bassariscus sumichrasti,906,2,276,1,423.73,6,64.5,119.32
Bdeogale crassicauda,1722.13,0.96,130.8,1,444.53,1,NA,NA
Bdeogale jacksoni,2500,NA,NA,1,NA,2,NA,NA
Bdeogale nigripes,2623.01,1,190,1,611.37,6,NA,NA
Callorhinus ursinus,41400,1.04,420,2,1734.82,6,358.49,108.69
Canis adustus,10392.49,4.5,137,1,745.32,6,65,52.89
Canis aureus,9658.7,3.74,192,1,827.53,6,61.24,61.3
Canis latrans,11989.1,5.72,262,1,872.39,1,61.74,43.71
Canis lupus,31756.51,4.98,354,1,1055,1,63.5,44.82
Canis mesomelas,8247.3,3.89,168,1,707.27,6,62.5,34.1
Canis simensis,14361.86,4,144,1,938.19,1,63.61,69.6
Caracal aurata,11277.17,2.25,252,1,797.61,1,81.34,119.32
Caracal caracal,11964.38,2.3,204,1,739.28,1,71.47,120.41
Cerdocyon thous,5741.66,3.09,138,1,648.06,7,57.18,72.33
Chrotogale owstoni,3267.71,2,152.4,1,570.29,6,60,NA
Chrysocyon brachyurus,23325,2,180,1,1245.72,6,63.48,119
Civettictis civetta,12075.58,2.31,336,1,790.14,6,68.4,82.91
Conepatus chinga,1917.52,3.5,104.4,1,NA,NA,24,NA
Conepatus humboldtii,1097.61,3.49,84,2,353.19,1,NA,NA
Conepatus leuconotus,3293.91,3.6,84,1,421.41,1,60.83,45.56
Conepatus semistriatus,1997.34,3.49,120,2,NA,6,60,180
Crocuta crocuta,63369.98,1.91,493.2,1,1300.11,1,112.33,371.37
Crossarchus alexandri,1503.4,4,NA,1,448.99,NA,NA,NA
Crossarchus ansorgei,700,3,NA,1,325.52,6,NA,21
Crossarchus obscurus,1395.09,4.29,108,1,338.98,6,70,29.23
Crossarchus platycephalus,920,3,120,NA,NA,NA,240,NA
Cryptoprocta ferox,9500,2.98,240,3,726.04,2,92.54,136.1
Cuon alpinus,15800,4.3,192,1,987.74,1,61.5,57.33
Cynictis penicillata,694.41,2.15,182.4,1,291.87,1,56.83,41.76
Cynogale bennettii,4246.57,2.3,60,2,624.54,6,NA,NA
Cystophora cristata,208000,1,420,2,2323.06,6,334.58,9.5
Diplogale hosei,1450,1.5,NA,1,599.13,6,NA,NA
Dologale dybowskii,361.92,4,NA,1,289.15,NA,NA,NA
Dusicyon australis,50003.45,NA,NA,1,957.14,1,NA,NA
Eira barbara,4134.99,2.14,216,2,612.64,2,66.74,94.46
Enhydra lutris,27410,0.96,360,1,1435.71,6,238,178.98
Erignathus barbatus,369000,1,377.43,2,2293.15,6,285.24,20.94
